6.292, -2.0, 1.0, 257.0, 2.31, -5.41, -88.94, 138.0, -434.0, -279.0, -69.0, -895.0, 7371.0
6.312, -1.0, 1.0, 257.0, 2.31, -5.37, -89.71, 136.0, -433.0, -280.0, -69.0, -895.0, 7371.0
6.332, -1.0, 1.0, 257.0, 2.32, -5.35, -90.46, 136.0, -433.0, -280.0, -69.0, -895.0, 7371.0
6.352, -1.0, 1.0, 256.0, 2.32, -5.34, -91.19, 137.0, -433.0, -280.0, -69.0, -895.0, 7371.0
6.374, -1.0, 1.0, 257.0, 2.32, -5.32, -91.9, 136.0, -432.0, -280.0, -74.0, -946.0, 7343.0
6.392, 0.0, 0.0, 257.0, 2.32, -5.31, -92.61, 137.0, -432.0, -280.0, -74.0, -946.0, 7343.0
6.412, -1.0, 1.0, 257.0, 2.3, -5.32, -93.29, 137.0, -434.0, -279.0, -74.0, -946.0, 7343.0
6.432, -1.0, 0.0, 257.0, 2.3, -5.31, -93.96, 137.0, -433.0, -280.0, -74.0, -946.0, 7343.0
6.452, -1.0, 1.0, 257.0, 2.28, -5.3, -94.61, 138.0, -435.0, -279.0, -74.0, -946.0, 7343.0
6.472, -1.0, 1.0, 257.0, 2.29, -5.29, -95.26, 138.0, -434.0, -281.0, -74.0, -946.0, 7343.0
6.494, -1.0, 1.0, 257.0, 2.3, -5.29, -95.88, 139.0, -436.0, -280.0, -87.0, -952.0, 7334.0
6.512, -1.0, 1.0, 257.0, 2.3, -5.28, -96.49, 137.0, -434.0, -280.0, -87.0, -952.0, 7334.0
6.532, -1.0, 1.0, 257.0, 2.3, -5.27, -97.09, 136.0, -435.0, -279.0, -87.0, -952.0, 7334.0
6.552, -1.0, 1.0, 257.0, 2.3, -5.26, -97.67, 137.0, -434.0, -280.0, -87.0, -952.0, 7334.0
6.573, -1.0, 1.0, 257.0, 2.3, -5.25, -98.24, 136.0, -433.0, -280.0, -87.0, -952.0, 7334.0
6.592, -1.0, 1.0, 257.0, 2.3, -5.24, -98.8, 137.0, -432.0, -281.0, -87.0, -952.0, 7334.0
6.615, -1.0, 1.0, 257.0, 2.3, -5.23, -99.35, 137.0, -433.0, -280.0, -110.0, -925.0, 7327.0
6.632, -2.0, 1.0, 257.0, 2.3, -5.22, -99.88, 136.0, -433.0, -281.0, -110.0, -925.0, 7327.0
6.652, 0.0, 1.0, 256.0, 2.3, -5.19, -100.4, 136.0, -432.0, -280.0, -110.0, -925.0, 7327.0
6.672, -1.0, 1.0, 257.0, 2.3, -5.21, -100.91, 137.0, -433.0, -280.0, -110.0, -925.0, 7327.0
6.692, -1.0, 0.0, 257.0, 2.3, -5.2, -101.41, 136.0, -432.0, -280.0, -110.0, -925.0, 7327.0
6.712, 0.0, 1.0, 257.0, 2.28, -5.19, -101.89, 138.0, -433.0, -280.0, -110.0, -925.0, 7327.0
6.734, -1.0, 1.0, 257.0, 2.28, -5.21, -102.36, 138.0, -434.0, -280.0, -105.0, -921.0, 7363.0
6.752, 0.0, 1.0, 257.0, 2.28, -5.2, -102.82, 137.0, -434.0, -279.0, -105.0, -921.0, 7363.0
6.772, -1.0, 1.0, 257.0, 2.28, -5.21, -103.27, 136.0, -433.0, -280.0, -105.0, -921.0, 7363.0
6.792, -1.0, 1.0, 257.0, 2.28, -5.2, -103.7, 136.0, -434.0, -280.0, -105.0, -921.0, 7363.0
6.812, 0.0, 1.0, 257.0, 2.28, -5.19, -104.13, 136.0, -433.0, -279.0, -105.0, -921.0, 7363.0
6.832, -1.0, 1.0, 257.0, 2.28, -5.21, -104.55, 135.0, -433.0, -281.0, -105.0, -921.0, 7363.0
6.854, -1.0, 1.0, 257.0, 2.28, -5.2, -104.96, 139.0, -435.0, -280.0, -125.0, -938.0, 7333.0
6.873, -1.0, 0.0, 257.0, 2.28, -5.19, -105.36, 137.0, -433.0, -280.0, -125.0, -938.0, 7333.0
6.892, -1.0, 1.0, 257.0, 2.26, -5.17, -105.75, 136.0, -433.0, -280.0, -125.0, -938.0, 7333.0
6.913, -1.0, 0.0, 256.0, 2.26, -5.16, -106.14, 136.0, -433.0, -280.0, -125.0, -938.0, 7333.0
6.932, -1.0, 1.0, 257.0, 2.23, -5.15, -106.51, 134.0, -430.0, -279.0, -125.0, -938.0, 7333.0
6.952, -1.0, 1.0, 257.0, 2.23, -5.14, -106.87, 137.0, -434.0, -278.0, -125.0, -938.0, 7333.0
6.974, -2.0, 1.0, 257.0, 2.24, -5.14, -107.23, 137.0, -435.0, -280.0, -136.0, -920.0, 7326.0
6.992, 0.0, 0.0, 257.0, 2.24, -5.1, -107.58, 138.0, -432.0, -278.0, -136.0, -920.0, 7326.0
7.012, -1.0, 1.0, 258.0, 2.22, -5.12, -107.91, 137.0, -433.0, -279.0, -136.0, -920.0, 7326.0
7.032, 0.0, 1.0, 257.0, 2.22, -5.11, -108.25, 136.0, -432.0, -280.0, -136.0, -920.0, 7326.0
7.052, 0.0, 1.0, 256.0, 2.23, -5.13, -108.57, 137.0, -433.0, -280.0, -136.0, -920.0, 7326.0
7.072, -2.0, 1.0, 257.0, 2.23, -5.14, -108.89, 137.0, -435.0, -280.0, -136.0, -920.0, 7326.0
7.094, -1.0, 1.0, 257.0, 2.23, -5.11, -109.2, 136.0, -435.0, -280.0, -118.0, -933.0, 7362.0
7.112, 0.0, 1.0, 257.0, 2.23, -5.1, -109.5, 137.0, -433.0, -279.0, -118.0, -933.0, 7362.0
7.132, -1.0, 1.0, 257.0, 2.23, -5.12, -109.78, 136.0, -432.0, -278.0, -118.0, -933.0, 7362.0
7.152, 0.0, 1.0, 257.0, 2.24, -5.1, -110.07, 139.0, -433.0, -280.0, -118.0, -933.0, 7362.0
7.172, -1.0, 1.0, 257.0, 2.24, -5.12, -110.35, 137.0, -433.0, -279.0, -118.0, -933.0, 7362.0
7.192, 0.0, 1.0, 257.0, 2.24, -5.11, -110.62, 138.0, -434.0, -279.0, -118.0, -933.0, 7362.0
7.215, -1.0, 1.0, 257.0, 2.24, -5.12, -110.88, 137.0, -433.0, -279.0, -154.0, -927.0, 7345.0
7.232, 0.0, 0.0, 257.0, 2.24, -5.11, -111.15, 137.0, -436.0, -279.0, -154.0, -927.0, 7345.0
7.252, -1.0, 1.0, 257.0, 2.21, -5.12, -111.4, 136.0, -433.0, -279.0, -154.0, -927.0, 7345.0
7.272, -1.0, 1.0, 256.0, 2.22, -5.11, -111.66, 137.0, -435.0, -279.0, -154.0, -927.0, 7345.0
7.292, 0.0, 0.0, 257.0, 2.22, -5.09, -111.9, 137.0, -433.0, -279.0, -154.0, -927.0, 7345.0
7.312, 0.0, 1.0, 256.0, 2.19, -5.11, -112.15, 137.0, -435.0, -281.0, -154.0, -927.0, 7345.0
7.334, 0.0, 1.0, 256.0, 2.2, -5.11, -112.38, 136.0, -434.0, -279.0, -113.0, -938.0, 7320.0
7.352, 0.0, 1.0, 257.0, 2.2, -5.12, -112.6, 137.0, -433.0, -279.0, -113.0, -938.0, 7320.0
7.372, -1.0, 1.0, 257.0, 2.2, -5.13, -112.82, 136.0, -434.0, -281.0, -113.0, -938.0, 7320.0
7.392, -1.0, 1.0, 257.0, 2.2, -5.11, -113.03, 138.0, -435.0, -280.0, -113.0, -938.0, 7320.0
7.412, 0.0, 1.0, 256.0, 2.2, -5.1, -113.23, 136.0, -434.0, -281.0, -113.0, -938.0, 7320.0
7.432, -1.0, 1.0, 257.0, 2.2, -5.1, -113.43, 136.0, -433.0, -280.0, -113.0, -938.0, 7320.0
7.454, 0.0, 1.0, 256.0, 2.2, -5.09, -113.63, 136.0, -434.0, -280.0, -113.0, -906.0, 7269.0
7.472, -1.0, 0.0, 257.0, 2.2, -5.09, -113.81, 137.0, -434.0, -278.0, -113.0, -906.0, 7269.0
7.492, -1.0, 1.0, 257.0, 2.18, -5.08, -113.99, 137.0, -434.0, -280.0, -113.0, -906.0, 7269.0
